ID,Name,Year,Month,Day,Status,Wind_mph,Latitude,Longitude
AL091880,UNNAMED,1880,10,8, HU,70,28.7,-83
AL111880,UNNAMED,1880,10,23, EX,60,41.3,-70
AL111880,UNNAMED,1880,10,23, EX,60,44,-68.8
AL011881,UNNAMED,1881,8,3, TS,50,30.2,-88.3
AL021881,UNNAMED,1881,8,13, TS,40,28,-96.9
AL051881,UNNAMED,1881,8,28, HU,90,31.7,-81.1
AL061881,UNNAMED,1881,9,9, HU,90,33.9,-78.1
AL021882,UNNAMED,1882,9,10, HU,110,30.4,-86.8
AL031882,UNNAMED,1882,9,15, TS,50,29.8,-93.7
AL041882,UNNAMED,1882,9,22, TS,50,34.7,-77
AL041882,UNNAMED,1882,9,24, TS,40,40.7,-72.8
AL061882,UNNAMED,1882,10,11, HU,70,29.5,-83.3
AL031883,UNNAMED,1883,9,11, HU,90,33.9,-78.5
AL031884,UNNAMED,1884,9,11, TS,40,31.6,-81.2
AL021885,UNNAMED,1885,8,25, HU,90,32.6,-80.1
AL031885,UNNAMED,1885,8,30, TS,50,30.1,-85.7
AL041885,UNNAMED,1885,9,21, TS,50,29,-89.4
AL041885,UNNAMED,1885,9,21, TS,50,30,-85.6
AL061885,UNNAMED,1885,9,26, TS,60,29.6,-89
AL081885,UNNAMED,1885,10,11, TS,60,29.4,-83.2
AL011886,UNNAMED,1886,6,14, HU,85,29.6,-94.2
AL021886,UNNAMED,1886,6,21, HU,85,30.1,-84
AL031886,UNNAMED,1886,6,30, HU,85,29.7,-85.2
AL041886,UNNAMED,1886,7,19, HU,70,28.8,-82.7
AL051886,UNNAMED,1886,8,20, HU,130,28.1,-96.8
AL101886,UNNAMED,1886,10,12, HU,105,29.8,-93.5
AL031887,UNNAMED,1887,6,14, TS,35,30.2,-88.7
AL041887,UNNAMED,1887,7,27, HU,75,30.4,-86.6
AL091887,UNNAMED,1887,9,21, HU,75,26.1,-97.2
AL161887,UNNAMED,1887,10,30, TS,40,28.1,-82.8
AL011888,UNNAMED,1888,6,17, HU,70,28.7,-95.7
AL021888,UNNAMED,1888,7,5, TS,50,28.8,-95.6
AL031888,UNNAMED,1888,8,16, HU,110,25.8,-80.1
AL031888,UNNAMED,1888,8,19, HU,95,29.1,-90.7
AL051888,UNNAMED,1888,9,8, TS,45,26.7,-80.1
AL061888,UNNAMED,1888,9,26, HU,70,41.6,-69.9
AL071888,UNNAMED,1888,10,11, HU,95,29.2,-83.1
AL071888,UNNAMED,1888,10,11, TS,60,33.9,-78.1
AL021889,UNNAMED,1889,6,17, TS,45,29.1,-82.9
AL061889,UNNAMED,1889,9,23, HU,70,29.1,-89.8
AL061889,UNNAMED,1889,9,23, TS,60,30.3,-88.7
AL091889,UNNAMED,1889,10,5, TS,35,24.7,-81.1
AL091889,UNNAMED,1889,10,6, TS,40,25.2,-80.9
AL021890,UNNAMED,1890,8,27, TS,50,29.1,-90.9
AL011891,UNNAMED,1891,7,5, HU,80,28.8,-95.5
AL031891,UNNAMED,1891,8,24, HU,70,25.4,-80.2
AL071891,UNNAMED,1891,10,7, TS,45,25.2,-81.3
AL011892,UNNAMED,1892,6,10, TS,40,25.7,-81.3
AL041892,UNNAMED,1892,9,12, TS,50,29,-90.6
AL091892,UNNAMED,1892,10,24, TS,45,27.6,-82.8
AL011893,UNNAMED,1893,6,15, TS,60,29.9,-83.7
AL041893,UNNAMED,1893,8,24, HU,75,40.7,-73.9
AL061893,UNNAMED,1893,8,28, HU,100,31.7,-81.1
